"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1104.60602444307,11.2907667861341,1.01724797232147,-0.045305540791751,0.0140905744901918,"EC-EARTH3-VEG","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1082.17898264351,11.2538169671967,1.31068317597885,-0.0326321237067225,0.0812865464251313,"EC-EARTH3-VEG","r2i1p1f1","ssp245","Fut(1993-2022)",2007
1074.32350200002,11.1580910889222,5.00061967665399,-0.0702088950611101,0.0771001816823187,"EC-EARTH3-VEG","r2i1p1f1","ssp370","Fut(1993-2022)",2007
1033.03280440823,11.2878692148204,0.0892886884926392,0.0334790408089857,0.0929220703525822,"EC-EARTH3-VEG","r2i1p1f1","ssp585","Fut(1993-2022)",2007
1078.69274879895,11.0943918268367,-0.737524561690285,0.0510827211241527,0.00999271850295358,"EC-EARTH3-VEG","r3i1p1f1","ssp245","Fut(1993-2022)",2007
1108.0073114719,10.988746566804,-0.205037308407411,0.0956596297081966,0.0119621809378039,"EC-EARTH3-VEG","r3i1p1f1","ssp370","Fut(1993-2022)",2007
1134.47834412685,11.011879198267,2.0627640588633,-0.0533230257825414,0.0475924354361137,"EC-EARTH3-VEG","r3i1p1f1","ssp585","Fut(1993-2022)",2007
1030.61850904356,10.8075614711947,-0.116024136999734,-0.0611752385940507,0.0762617275954156,"EC-EARTH3-VEG","r4i1p1f1","ssp245","Fut(1993-2022)",2007
1053.92087764879,10.760204914837,-0.158980105875236,0.00889103596590594,0.0491731334515428,"EC-EARTH3-VEG","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1019.25444763445,10.8680066386196,-0.514940515522964,0.0935058490814098,0.0755801261404034,"EC-EARTH3-VEG","r4i1p1f1","ssp585","Fut(1993-2022)",2007
1081.94807867949,11.3023818008909,1.21815784492951,-0.0254496594891547,0.0208211817476496,"EC-EARTH3-VEG","r5i1p1f1","ssp245","Fut(1993-2022)",2007
1129.43532862956,10.621518678123,0.414731954759231,-0.027088984031592,0.0577685366631595,"EC-EARTH3","r1i1p1f1","ssp245","Fut(1993-2022)",2007
