period,mvs,window,n_windows,min_window_avg_pr
historical,MPI-ESM1-2-HR_r2i1p1f1_ssp245,20,46,939.4152317833007
historical,MPI-ESM1-2-HR_r3i1p1f1_ssp370,2,64,687.1990974558721
historical,MPI-ESM1-2-HR_r3i1p1f1_ssp370,5,61,808.077010962498
historical,MPI-ESM1-2-HR_r3i1p1f1_ssp370,10,56,936.2921085773363
historical,MPI-ESM1-2-HR_r3i1p1f1_ssp370,15,51,960.5635700168847
historical,MPI-ESM1-2-HR_r3i1p1f1_ssp370,20,46,996.2581535723439
historical,MPI-ESM1-2-HR_r4i1p1f1_ssp370,2,64,558.9096621236563
historical,MPI-ESM1-2-HR_r4i1p1f1_ssp370,5,61,719.2116857905479
historical,MPI-ESM1-2-HR_r4i1p1f1_ssp370,10,56,835.793312238274
historical,MPI-ESM1-2-HR_r4i1p1f1_ssp370,15,51,889.7184689561017
historical,MPI-ESM1-2-HR_r4i1p1f1_ssp370,20,46,926.5771187754502
historical,MPI-ESM1-2-HR_r5i1p1f1_ssp370,2,64,686.8563594267453
historical,MPI-ESM1-2-HR_r5i1p1f1_ssp370,5,61,844.8124357609984
historical,MPI-ESM1-2-HR_r5i1p1f1_ssp370,10,56,939.6325140004744
historical,MPI-ESM1-2-HR_r5i1p1f1_ssp370,15,51,949.4364542393312
historical,MPI-ESM1-2-HR_r5i1p1f1_ssp370,20,46,976.232608218341
historical,MPI-ESM1-2-HR_r6i1p1f1_ssp370,2,64,757.6251825761055
historical,MPI-ESM1-2-HR_r6i1p1f1_ssp370,5,61,925.5366748096233
historical,MPI-ESM1-2-HR_r6i1p1f1_ssp370,10,56,984.2807228835442
historical,MPI-ESM1-2-HR_r6i1p1f1_ssp370,15,51,1008.663965155648
historical,MPI-ESM1-2-HR_r6i1p1f1_ssp370,20,46,1022.6816167813438
historical,MPI-ESM1-2-HR_r7i1p1f1_ssp370,2,64,627.2431636058463
historical,MPI-ESM1-2-HR_r7i1p1f1_ssp370,5,61,802.0022637171637
historical,MPI-ESM1-2-HR_r7i1p1f1_ssp370,10,56,888.7959743048648
historical,MPI-ESM1-2-HR_r7i1p1f1_ssp370,15,51,922.2577513132836
