period,mvs,window,n_windows,min_window_avg_pr
historical,EC-Earth3_r1i1p1f1_ssp585,2,64,610.4952763240908
historical,EC-Earth3_r1i1p1f1_ssp585,5,61,929.0692923199233
historical,EC-Earth3_r1i1p1f1_ssp585,10,56,1041.8076194145501
historical,EC-Earth3_r1i1p1f1_ssp585,15,51,1107.9226636213943
historical,EC-Earth3_r1i1p1f1_ssp585,20,46,1097.8755990148366
historical,EC-Earth3_r2i1p1f1_ssp245,2,64,682.3836544751284
historical,EC-Earth3_r2i1p1f1_ssp245,5,61,772.6496928599124
historical,EC-Earth3_r2i1p1f1_ssp245,10,56,999.8501092918563
historical,EC-Earth3_r2i1p1f1_ssp245,15,51,1034.7592914786483
historical,EC-Earth3_r2i1p1f1_ssp245,20,46,1095.6965403173529
historical,EC-Earth3_r3i1p1f1_ssp585,2,64,684.4216517144087
historical,EC-Earth3_r3i1p1f1_ssp585,5,61,874.3289465100054
historical,EC-Earth3_r3i1p1f1_ssp585,10,56,985.5587801077702
historical,EC-Earth3_r3i1p1f1_ssp585,15,51,1020.2921242181061
historical,EC-Earth3_r3i1p1f1_ssp585,20,46,1046.3324509777835
historical,EC-Earth3_r4i1p1f1_ssp245,2,64,611.0961636678148
historical,EC-Earth3_r4i1p1f1_ssp245,5,61,750.1133190022731
historical,EC-Earth3_r4i1p1f1_ssp245,10,56,926.6534051780975
historical,EC-Earth3_r4i1p1f1_ssp245,15,51,947.8494230015298
historical,EC-Earth3_r4i1p1f1_ssp245,20,46,1007.847007271261
historical,EC-Earth3_r4i1p1f1_ssp370,2,64,611.0961636678148
historical,EC-Earth3_r4i1p1f1_ssp370,5,61,750.1133190022731
historical,EC-Earth3_r4i1p1f1_ssp370,10,56,926.6534051780975
historical,EC-Earth3_r4i1p1f1_ssp370,15,51,947.8494230015298
historical,EC-Earth3_r4i1p1f1_ssp370,20,46,1007.847007271261
historical,EC-Earth3_r4i1p1f1_ssp585,2,64,611.0961636678148
historical,EC-Earth3_r4i1p1f1_ssp585,5,61,750.1133190022731
historical,EC-Earth3_r4i1p1f1_ssp585,10,56,926.6534051780975
historical,EC-Earth3_r4i1p1f1_ssp585,15,51,947.8494230015298
historical,EC-Earth3_r4i1p1f1_ssp585,20,46,1007.847007271261
historical,FGOALS-g3_r1i1p1f1_ssp245,2,64,732.8200362312873
historical,FGOALS-g3_r1i1p1f1_ssp245,5,61,906.8845871977871
historical,FGOALS-g3_r1i1p1f1_ssp245,10,56,965.7114098362283
historical,FGOALS-g3_r1i1p1f1_ssp245,15,51,1023.4916402475593
historical,FGOALS-g3_r1i1p1f1_ssp245,20,46,1068.1724164306347
historical,FGOALS-g3_r1i1p1f1_ssp370,2,64,732.8200362312873
historical,FGOALS-g3_r1i1p1f1_ssp370,5,61,906.8845871977871
historical,FGOALS-g3_r1i1p1f1_ssp370,10,56,965.7114098362283
historical,FGOALS-g3_r1i1p1f1_ssp370,15,51,1023.4916402475593
historical,FGOALS-g3_r1i1p1f1_ssp370,20,46,1068.1724164306347
historical,FGOALS-g3_r1i1p1f1_ssp585,2,64,732.8200362312873
historical,FGOALS-g3_r1i1p1f1_ssp585,5,61,906.8845871977871
historical,FGOALS-g3_r1i1p1f1_ssp585,10,56,965.7114098362283
historical,FGOALS-g3_r1i1p1f1_ssp585,15,51,1023.4916402475593
historical,FGOALS-g3_r1i1p1f1_ssp585,20,46,1068.1724164306347
historical,FGOALS-g3_r3i1p1f1_ssp245,2,64,648.9121049701846
historical,FGOALS-g3_r3i1p1f1_ssp245,5,61,898.5664411591715
historical,FGOALS-g3_r3i1p1f1_ssp245,10,56,1096.6346728944334
historical,FGOALS-g3_r3i1p1f1_ssp245,15,51,1136.5924948516608
historical,FGOALS-g3_r3i1p1f1_ssp245,20,46,1129.6502958743545
historical,FGOALS-g3_r3i1p1f1_ssp370,2,64,648.9121049701846
historical,FGOALS-g3_r3i1p1f1_ssp370,5,61,898.5664411591715
historical,FGOALS-g3_r3i1p1f1_ssp370,10,56,1096.6346728944334
historical,FGOALS-g3_r3i1p1f1_ssp370,15,51,1136.5924948516608
historical,FGOALS-g3_r3i1p1f1_ssp370,20,46,1129.6502958743545
historical,FGOALS-g3_r3i1p1f1_ssp585,2,64,648.9121049701846
historical,FGOALS-g3_r3i1p1f1_ssp585,5,61,898.5664411591715
historical,FGOALS-g3_r3i1p1f1_ssp585,10,56,1096.6346728944334
historical,FGOALS-g3_r3i1p1f1_ssp585,15,51,1136.5924948516608
historical,FGOALS-g3_r3i1p1f1_ssp585,20,46,1129.6502958743545
historical,FGOALS-g3_r4i1p1f1_ssp245,2,64,557.539614598878
historical,FGOALS-g3_r4i1p1f1_ssp245,5,61,877.5818695383081
historical,FGOALS-g3_r4i1p1f1_ssp245,10,56,993.1848931372591
historical,FGOALS-g3_r4i1p1f1_ssp245,15,51,1061.5577787390962
historical,FGOALS-g3_r4i1p1f1_ssp245,20,46,1074.396857559061
historical,FGOALS-g3_r4i1p1f1_ssp370,2,64,557.539614598878
historical,FGOALS-g3_r4i1p1f1_ssp370,5,61,877.5818695383081
historical,FGOALS-g3_r4i1p1f1_ssp370,10,56,993.1848931372591
historical,FGOALS-g3_r4i1p1f1_ssp370,15,51,1061.5577787390962
historical,FGOALS-g3_r4i1p1f1_ssp370,20,46,1074.396857559061
historical,FGOALS-g3_r4i1p1f1_ssp585,2,64,557.539614598878
historical,FGOALS-g3_r4i1p1f1_ssp585,5,61,877.5818695383081
historical,FGOALS-g3_r4i1p1f1_ssp585,10,56,993.1848931372591
historical,FGOALS-g3_r4i1p1f1_ssp585,15,51,1061.5577787390962
historical,FGOALS-g3_r4i1p1f1_ssp585,20,46,1074.396857559061
historical,FGOALS-g3_r5i1p1f1_ssp370,2,64,744.3167485030394
historical,FGOALS-g3_r5i1p1f1_ssp370,5,61,872.1072595981052
historical,FGOALS-g3_r5i1p1f1_ssp370,10,56,940.5761322574996
historical,FGOALS-g3_r5i1p1f1_ssp370,15,51,1006.7534679600018
historical,FGOALS-g3_r5i1p1f1_ssp370,20,46,1010.5794530066516
historical,GFDL-ESM4_r1i1p1f1_ssp245,2,64,779.410880936337
historical,GFDL-ESM4_r1i1p1f1_ssp245,5,61,941.183592058998
historical,GFDL-ESM4_r1i1p1f1_ssp245,10,56,1034.9246506928553
historical,GFDL-ESM4_r1i1p1f1_ssp245,15,51,1081.3492120314754
historical,GFDL-ESM4_r1i1p1f1_ssp245,20,46,1070.4813067696073
historical,GFDL-ESM4_r1i1p1f1_ssp370,2,64,779.410880936337
historical,GFDL-ESM4_r1i1p1f1_ssp370,5,61,941.183592058998
historical,GFDL-ESM4_r1i1p1f1_ssp370,10,56,1034.9246506928553
historical,GFDL-ESM4_r1i1p1f1_ssp370,15,51,1081.3492120314754
historical,GFDL-ESM4_r1i1p1f1_ssp370,20,46,1070.4813067696073
historical,GFDL-ESM4_r1i1p1f1_ssp585,2,64,779.410880936337
historical,GFDL-ESM4_r1i1p1f1_ssp585,5,61,941.183592058998
historical,GFDL-ESM4_r1i1p1f1_ssp585,10,56,1034.9246506928553
historical,GFDL-ESM4_r1i1p1f1_ssp585,15,51,1081.3492120314754
historical,GFDL-ESM4_r1i1p1f1_ssp585,20,46,1070.4813067696073
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,2,64,672.3172389605006
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,5,61,736.2712968928496
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,10,56,946.8973327122688
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,15,51,998.7555956892262
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp245,20,46,1034.8354047809787
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp585,2,64,672.3172389605006
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp585,5,61,736.2712968928496
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp585,10,56,946.8973327122688
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp585,15,51,998.7555956892262
historical,HadGEM3-GC31-LL_r1i1p1f3_ssp585,20,46,1034.8354047809787
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,2,64,702.2200593924754
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,5,61,796.0902598036497
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,10,56,934.8287695824736
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,15,51,1023.2587373631541
historical,HadGEM3-GC31-LL_r2i1p1f3_ssp585,20,46,1079.7103736225292
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,2,64,532.2362182305005
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,5,61,857.2394339392092
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,10,56,952.4997706468472
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,15,51,1038.839824689628
historical,HadGEM3-GC31-LL_r3i1p1f3_ssp585,20,46,1038.6292017007545
historical,INM-CM5-0_r1i1p1f1_ssp245,2,64,908.682446020397
historical,INM-CM5-0_r1i1p1f1_ssp245,5,61,991.858345077504
historical,INM-CM5-0_r1i1p1f1_ssp245,10,56,1056.6734245557473
historical,INM-CM5-0_r1i1p1f1_ssp245,15,51,1089.7982319760658
historical,INM-CM5-0_r1i1p1f1_ssp245,20,46,1091.7574558602114
historical,INM-CM5-0_r1i1p1f1_ssp370,2,64,908.682446020397
historical,INM-CM5-0_r1i1p1f1_ssp370,5,61,991.858345077504
historical,INM-CM5-0_r1i1p1f1_ssp370,10,56,1056.6734245557473
historical,INM-CM5-0_r1i1p1f1_ssp370,15,51,1089.7982319760658
historical,INM-CM5-0_r1i1p1f1_ssp370,20,46,1091.7574558602114
historical,INM-CM5-0_r1i1p1f1_ssp585,2,64,908.682446020397
historical,INM-CM5-0_r1i1p1f1_ssp585,5,61,991.858345077504
historical,INM-CM5-0_r1i1p1f1_ssp585,10,56,1056.6734245557473
historical,INM-CM5-0_r1i1p1f1_ssp585,15,51,1089.7982319760658
historical,INM-CM5-0_r1i1p1f1_ssp585,20,46,1091.7574558602114
historical,INM-CM5-0_r2i1p1f1_ssp370,2,64,710.0010105115216
historical,INM-CM5-0_r2i1p1f1_ssp370,5,61,937.8284308268703
