"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"MRI-ESM2-0","ssp370",1040.83798468809,11.1055193553526,-0.204798593871261,0.299094280153718,0.160189376154376,NA,"Fut(1996-2025)",2010,NA
"ACCESS-CM2","ssp245",1003.70729810373,11.300206383651,-3.95283920088383,0.876874397337602,0.321155240500826,NA,"Fut(1997-2026)",2011,NA
"ACCESS-CM2","ssp370",1049.12476285765,11.2602038247687,-2.15260115990573,0.588955536083009,0.291637277012116,NA,"Fut(1997-2026)",2011,NA
"ACCESS-CM2","ssp585",1027.83678309227,11.3996557393888,-1.65354120037597,0.499370404226057,0.364053546258592,NA,"Fut(1997-2026)",2011,NA
"CESM2-LENS","ssp370",1042.23280861314,11.2281307398914,-0.711365641994539,0.336479232968693,0.234753057695984,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3","ssp245",1077.14198602771,11.0525222170965,-1.05209344298073,0.170903032394658,0.239451318149696,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3","ssp370",1037.15486673199,11.1094691019119,-1.99827496346735,-0.27228515114174,0.288146431446609,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3","ssp585",1109.90681441852,10.9287496115267,-0.526039158560047,-0.503106584312444,0.178659663554017,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3-VEG","ssp245",1084.51355315185,11.3714541919529,1.03826469569968,-0.029677081886703,0.265058883341807,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3-VEG","ssp370",1111.87136043663,11.1813970743614,3.06328130617286,0.0514205151054559,0.193930341720835,NA,"Fut(1997-2026)",2011,NA
"EC-EARTH3-VEG","ssp585",1096.40479803244,11.3369350139944,2.90837579076959,0.0354454041451235,0.279850856138932,NA,"Fut(1997-2026)",2011,NA
"FGOALS-G3","ssp245",1093.83730719327,11.0139618804667,0.195875313085851,-0.120896222655841,0.198532756257828,NA,"Fut(1997-2026)",2011,NA
"FGOALS-G3","ssp370",1026.54088509803,11.1312027889589,0.468966609797625,0.672707703584033,0.207992652942433,NA,"Fut(1997-2026)",2011,NA
"FGOALS-G3","ssp585",1062.47929997949,11.1370710135256,-2.39010486097308,1.15584405282893,0.222684639156668,NA,"Fut(1997-2026)",2011,NA
"INM-CM5-0","ssp370",1068.69454718891,10.9565968622909,0.755292422686979,-0.171713432976305,0.193786910609248,NA,"Fut(1997-2026)",2011,NA
"IPSL-CM6A-LR","ssp245",1079.78964126959,11.1851207481936,1.04682634951071,-0.0201602814114902,0.186512168393966,NA,"Fut(1997-2026)",2011,NA
"IPSL-CM6A-LR","ssp370",1059.98141852735,11.1983630075344,-0.303264389821907,0.0556899300256175,0.210810698887069,NA,"Fut(1997-2026)",2011,NA
"IPSL-CM6A-LR","ssp585",1073.56526614119,11.1747635463062,0.35224746645081,-0.256065180167013,0.202071858741171,NA,"Fut(1997-2026)",2011,NA
"KACE-1-0-G","ssp245",1041.90950205526,11.5206523797521,-2.22345878885814,0.0933451832402314,0.336829339351365,NA,"Fut(1997-2026)",2011,NA
"KACE-1-0-G","ssp370",1052.76767084749,11.5301032836529,-0.631074754966712,0.0861743106481323,0.354631724994533,NA,"Fut(1997-2026)",2011,NA
"KACE-1-0-G","ssp585",1025.4816064269,11.4917497599476,-4.9400604244588,0.242585277902505,0.338501334753506,NA,"Fut(1997-2026)",2011,NA
"MIROC6","ssp245",1055.86751437555,11.1616524681627,-0.0586651467139562,-0.37734726932229,0.237163864326623,NA,"Fut(1997-2026)",2011,NA
"MIROC6","ssp370",1041.31827682173,11.0754194975998,-0.575735139252469,-0.216151625508822,0.214262165743522,NA,"Fut(1997-2026)",2011,NA
